transaction_id,customer_id,product_name,channel,branch_id,transaction_date,amount,is_outlier
T2_000154,C2_001832,Deposito,Teller,B2_026,2025-05-03,498517946,TRUE
T2_000175,C2_000017,Tabungan,Teller,B2_030,2024-05-26,497269804,TRUE
T2_000413,C2_001261,Tabungan,ATM,B2_021,2025-05-16,499990391,TRUE
T2_000541,C2_000034,Kredit Mikro,Internet Banking,B2_023,2023-05-22,496567056,TRUE
T2_000710,C2_002882,Kredit Mikro,Mobile Banking,B2_015,2023-01-07,497805492,TRUE
T2_000797,C2_000668,Kredit Konsumer,Internet Banking,B2_010,2025-08-26,497315301,TRUE
T2_000801,C2_000243,Kredit Mikro,Teller,B2_020,2024-05-26,499959512,TRUE
T2_000914,C2_001202,Kartu Kredit,Teller,B2_022,2023-12-05,499173327,TRUE
T2_001013,C2_002093,Tabungan,EDC,B2_028,2025-03-03,497230317,TRUE
T2_001108,C2_002245,Kredit Mikro,ATM,B2_028,2023-01-07,496427030,TRUE
T2_001439,C2_000530,Tabungan,ATM,B2_004,2024-10-28,496066026,TRUE
T2_001483,C2_002608,Tabungan,Teller,B2_005,2023-10-29,497066009,TRUE
T2_001659,C2_000103,Tabungan,Mobile Banking,B2_002,2023-08-23,498751559,TRUE
T2_001705,C2_000158,Kartu Kredit,Teller,B2_007,2023-03-15,499628413,TRUE
T2_001878,C2_001199,Kartu Kredit,Internet Banking,B2_002,2025-06-20,498537680,TRUE
T2_002022,C2_002947,Kartu Kredit,EDC,B2_014,2024-07-08,495893397,TRUE
T2_002058,C2_000309,Tabungan,EDC,B2_014,2023-12-29,499054286,TRUE
T2_002578,C2_002384,Kredit Konsumer,ATM,B2_027,2025-06-26,498245722,TRUE
T2_002600,C2_000450,Deposito,Teller,B2_006,2023-09-16,497497002,TRUE
T2_002627,C2_000798,Deposito,EDC,B2_015,2023-05-05,499244172,TRUE
T2_002754,C2_001554,Kredit Konsumer,EDC,B2_020,2023-02-20,497414211,TRUE
T2_002791,C2_001648,Deposito,Mobile Banking,B2_016,2025-02-15,499348138,TRUE
T2_002873,C2_002640,Kartu Kredit,EDC,B2_029,2024-11-19,499844688,TRUE
T2_002917,C2_001676,Kartu Kredit,Internet Banking,B2_020,2024-12-18,499285726,TRUE
T2_002958,C2_000598,Deposito,Mobile Banking,B2_019,2023-05-06,499019317,TRUE
T2_003187,C2_000721,Deposito,Teller,B2_014,2023-01-27,497160340,TRUE
T2_003323,C2_002185,Tabungan,Mobile Banking,B2_006,2023-07-22,497253547,TRUE
T2_003398,C2_001380,Kartu Kredit,Internet Banking,B2_004,2024-06-09,497527557,TRUE
T2_003422,C2_001804,Kredit Konsumer,Teller,B2_020,2024-02-21,499552862,TRUE
T2_003492,C2_002039,Deposito,ATM,B2_003,2023-05-14,496183105,TRUE
T2_003501,C2_000462,Kredit Konsumer,EDC,B2_001,2024-09-10,498171233,TRUE
T2_003560,C2_000024,Kredit Mikro,Mobile Banking,B2_005,2023-10-10,497075668,TRUE
T2_003623,C2_001814,Kredit Mikro,Internet Banking,B2_007,2023-03-01,498463769,TRUE
T2_003686,C2_000636,Kartu Kredit,EDC,B2_023,2025-02-17,498402408,TRUE
T2_003717,C2_001933,Kredit Mikro,EDC,B2_025,2025-08-18,498849062,TRUE
T2_003838,C2_000939,Kredit Konsumer,Internet Banking,B2_019,2023-11-26,498010444,TRUE
T2_003854,C2_000466,Deposito,ATM,B2_009,2023-01-01,499680787,TRUE
T2_003981,C2_000699,Deposito,EDC,B2_019,2023-10-16,496735853,TRUE
T2_004215,C2_001253,Tabungan,ATM,B2_002,2023-07-01,497275075,TRUE
T2_004268,C2_002195,Kredit Konsumer,Teller,B2_004,2025-03-15,497343811,TRUE
T2_004377,C2_002923,Kartu Kredit,Mobile Banking,B2_008,2023-10-29,496970437,TRUE
T2_004383,C2_001428,Tabungan,ATM,B2_017,2023-04-11,496846494,TRUE
T2_004431,C2_002274,Kredit Konsumer,Internet Banking,B2_016,2023-12-25,496457317,TRUE
T2_004529,C2_002093,Kredit Konsumer,Mobile Banking,B2_029,2023-09-17,499891759,TRUE
T2_004599,C2_001063,Tabungan,Teller,B2_006,2025-07-10,496625860,TRUE
T2_004687,C2_001948,Deposito,Teller,B2_017,2023-08-25,497869118,TRUE
T2_004715,C2_000517,Tabungan,Teller,B2_029,2024-06-04,496648048,TRUE
T2_004746,C2_000489,Kredit Mikro,Mobile Banking,B2_020,2025-02-12,499172890,TRUE
T2_004934,C2_000712,Kredit Mikro,Mobile Banking,B2_014,2023-03-19,499907782,TRUE
T2_005059,C2_001407,Kartu Kredit,ATM,B2_022,2025-05-27,499324429,TRUE
T2_005067,C2_000801,Kredit Mikro,EDC,B2_010,2025-08-09,497788332,TRUE
T2_005104,C2_002665,Kartu Kredit,EDC,B2_016,2024-05-06,497750967,TRUE
T2_005311,C2_000123,Kredit Mikro,Teller,B2_017,2023-06-14,496487296,TRUE
T2_005359,C2_000194,Tabungan,EDC,B2_024,2025-06-14,496525683,TRUE
T2_005385,C2_000328,Kartu Kredit,Teller,B2_003,2023-09-13,496181434,TRUE
T2_005484,C2_000781,Kredit Mikro,ATM,B2_016,2023-02-09,497703020,TRUE
T2_005601,C2_001977,Deposito,EDC,B2_021,2025-05-16,499876600,TRUE
T2_005669,C2_002608,Kartu Kredit,ATM,B2_018,2024-08-11,496351896,TRUE
T2_005682,C2_002725,Kredit Konsumer,ATM,B2_003,2025-04-21,496670384,TRUE
T2_005694,C2_000296,Kredit Mikro,Mobile Banking,B2_001,2023-01-17,497032225,TRUE
T2_005888,C2_000432,Kredit Konsumer,Teller,B2_022,2025-06-13,499603387,TRUE
T2_006072,C2_002088,Deposito,EDC,B2_028,2024-07-18,496421469,TRUE
T2_006279,C2_000314,Tabungan,ATM,B2_015,2023-06-27,497645534,TRUE
T2_006312,C2_000347,Kredit Konsumer,EDC,B2_004,2025-05-28,498004786,TRUE
T2_006376,C2_000523,Kartu Kredit,Internet Banking,B2_019,2024-09-18,497201856,TRUE
T2_006551,C2_000530,Kredit Mikro,Internet Banking,B2_028,2024-05-16,498593842,TRUE
T2_006629,C2_001278,Kredit Mikro,Internet Banking,B2_014,2025-02-12,498367618,TRUE
T2_006921,C2_002868,Deposito,Internet Banking,B2_025,2023-06-11,497867174,TRUE
T2_007055,C2_000821,Deposito,EDC,B2_006,2023-07-04,499730023,TRUE
T2_007134,C2_001293,Kredit Konsumer,Internet Banking,B2_027,2025-01-26,499317274,TRUE
T2_007176,C2_001329,Kartu Kredit,Teller,B2_021,2023-02-28,496045388,TRUE
T2_007234,C2_002039,Kredit Mikro,ATM,B2_011,2024-01-19,497402325,TRUE
T2_007332,C2_000323,Kartu Kredit,EDC,B2_013,2024-08-30,499892688,TRUE
T2_007336,C2_000217,Kartu Kredit,ATM,B2_001,2025-03-01,499948182,TRUE
T2_007338,C2_001964,Kredit Konsumer,Teller,B2_010,2024-10-21,498911395,TRUE
T2_007587,C2_001635,Kredit Mikro,ATM,B2_002,2023-09-10,496560413,TRUE
T2_007802,C2_002353,Tabungan,Internet Banking,B2_022,2025-03-10,496358544,TRUE
T2_007820,C2_001523,Kartu Kredit,ATM,B2_012,2025-02-12,498605644,TRUE
T2_007882,C2_001471,Kredit Mikro,Teller,B2_030,2025-03-21,495996186,TRUE
T2_007955,C2_001041,Kredit Konsumer,Internet Banking,B2_006,2024-02-14,498223734,TRUE
T2_000001,C2_001471,Kredit Mikro,Teller,B2_003,2023-10-04,34899143,FALSE
T2_000002,C2_000076,Kredit Mikro,Internet Banking,B2_004,2025-07-19,256065410,FALSE
T2_000003,C2_000643,Kredit Mikro,Internet Banking,B2_009,2024-08-28,199286297,FALSE
T2_000004,C2_002200,Tabungan,Mobile Banking,B2_028,2024-08-27,141757861,FALSE
T2_000005,C2_001754,Tabungan,EDC,B2_008,2024-09-18,110498355,FALSE
T2_000006,C2_002639,Deposito,ATM,B2_011,2025-06-01,218959509,FALSE
T2_000007,C2_002911,Tabungan,Mobile Banking,B2_015,2023-02-15,425426622,FALSE
T2_000008,C2_002539,Tabungan,Mobile Banking,B2_024,2023-01-01,66246868,FALSE
T2_000009,C2_001962,Kredit Konsumer,Teller,B2_011,2023-03-14,408188623,FALSE
T2_000010,C2_002453,Tabungan,Mobile Banking,B2_016,2024-08-29,125461987,FALSE
T2_000011,C2_000252,Deposito,Mobile Banking,B2_006,2025-08-12,36397769,FALSE
T2_000012,C2_001749,Tabungan,Mobile Banking,B2_029,2024-03-01,444563457,FALSE
